Participant,RecordedDate,ResponseId,memory_description,fictional_title,memory_label,type_of_fiction,type_of_fiction_text,times_watched,first_occured_time,first_occured_age,watched_most_recently_,times_watched,AMQ_Rehersal,AMQ_see,AMQ_hear,AMQ_Accuracy,AMQ_Live,AMQ_Strength,AMQ_Positivity,AMQ_Negativity,AMQ_Intensity,AMQ_Perspective,AMQ_Perspective_TEXT,AMQ_Switch,TALE_1,TALE_2,TALE_3,TALE_4,TALE_5,TALE_6,CES_1,CES_2,CES_3,CES_4,Thinkback_fiction,Talk_fiction,Like_reading,Often_read,Like_watching_movies,Often_watch_movies,Like_TVshows,Often_Watch_TV,Like_videogames,Often_videogames,Age,Gender,Gender_4_TEXT,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Race_7_TEXT,Ethnicity,Education_Level,Education_Level_7_TEXT,First_Language,First_Language_3_TEXT,Data_Agree_1,Data_Agree_2,Data_Agree_3,Data_Agree_4,Data_Agree_5,Responses_being_used,Distracted,Spent_time,Spent_time_3_TEXT,Confusing,id,memory_type,order,rehearsed_condition
6,2023-11-22 12:46:49,R_1LZgzbnaGCoZXFu,"I was swimming in my friend Jacob's pool with Hayes, Porter, Nash, and Jace. We ordered pizza and talked about our freshman year. Then we got out and watched a football game. ",NA,Hangout at Jacob's,NA,NA,NA,5,20,NA,NA,1,5,7,7,5,5,7,1,3,3,,1,3,4,1,4,4,2,1,2,1,3,6,6,4,2,5,4,5,3,3,3,20,1,,,,,,1,,,,2,7,Sophomore,1,,1,1,1,1,1,1,1,1,,No,90145,personal,rehearse_second,1
6,2023-11-22 12:46:50,R_1LZgzbnaGCoZXFu,"I was eating lunch with my friend Lila in Wu around noon. I got Ginger and Soy, and she had a salad. We talked about her work in sports and school.",NA,Lunch with Lila,NA,NA,NA,4,20,NA,NA,2,5,3,7,5,3,3,5,5,1,,2,4,3,1,4,4,1,1,4,1,3,6,6,4,2,5,4,5,3,3,3,20,1,,,,,,1,,,,2,7,Sophomore,1,,1,1,1,1,1,1,1,1,,No,90145,personal,rehearse_second,0
7,2023-11-22 18:04:22,R_1NxAg8n3UQ5w0LX,"Winning first place in anatomy at the state Science Olympiad tournament. I did a fist pump, feeling amazing that I had finally accomplished my goal of 4 years. A lot of my teammates were cheering and clapping.",NA,Science Olympiad Win,NA,NA,NA,5,17,NA,NA,5,7,6,7,5,5,6,2,6,1,,1,2,4,1,4,1,2,4,2,2,3,6,4,5,3,2,2,1,1,4,4,18,1,,,,,,,1,,,3,7,Freshman,1,,1,1,1,1,1,1,1,2,,Nope!,91495,personal,rehearse_second,1
7,2023-11-22 18:04:22,R_1NxAg8n3UQ5w0LX,"I remember waking up in Korea when I was 3, and looking out across the city skyline as the sun rose. I was standing next to the kitchen counter at the top of 3 stairs that led down to the sitting area for eating.",NA,Childhood in Korea,NA,NA,NA,8,3,NA,NA,2,7,3,5,3,3,6,2,3,1,,3,1,3,1,3,1,1,2,2,2,2,6,4,5,3,2,2,1,1,4,4,18,1,,,,,,,1,,,3,7,Freshman,1,,1,1,1,1,1,1,1,2,,Nope!,91495,personal,rehearse_second,0
8,2023-11-22 21:54:00,R_1dNCBmpcFUYlOg6,"In early March, I was accepted to one of the colleges that I was really interested in attending and it made me feel really good about my application and about my achievements up to that point in time. ",NA,College acceptance,NA,NA,NA,5,18,NA,NA,6,7,7,8,6,6,6,3,7,3,,1,4,5,1,4,2,3,4,5,3,2,7,5,3,2,3,3,4,5,5,4,19,1,,,,,,1,,,,2,7,2027,1,,2,2,2,2,2,1,1,2,,,91159,personal,rehearse_second,1
8,2023-11-22 21:54:00,R_1dNCBmpcFUYlOg6,"When I was still in elementary or middle school, my dad hosted a holiday party at our house and had hired my piano teacher to provide entertainment using the piano we had. I was learning to play the saxophone and had learned some holiday songs for fun, so I did a duet with my piano teacher on the saxophone for the guests. ",NA,Saxophone duet with my old piano teacher,NA,NA,NA,7,10,NA,NA,2,5,6,6,3,3,6,1,4,2,,1,3,4,1,3,2,2,3,3,3,2,7,5,3,2,3,3,4,5,5,4,19,1,,,,,,1,,,,2,7,2027,1,,2,2,2,2,2,1,1,2,,,91159,personal,rehearse_second,0
9,2023-11-23 14:36:15,R_57oq3Czkj14ahQl,"For my one-year anniversary with my ex-girlfriend, I remember taking her out to dinner at Bonefish Grill. I don't remember what entree I got, but we ordered a shrimp appetizer that was amazing. I remember feeling grateful and happy. After, we went to Liberty State Park on the Hudson River, and I remember getting mad at her because she was reading the directions and told me to take a wrong turn that ended up going towards New York City. We eventually made it there and walked along the waterfront. I remember us trying to find someone to take our picture, but I asked someone and she ignored/didn't hear me so I gave up because it was embarrassing. Overall, this is one of my happiest memories and one of the ones I thought most about during our relationship because even though it wasn't perfect, it was an extremely special night.",NA,First Anniversary,NA,NA,NA,6,17,NA,NA,5,5,3,5,5,5,6,1,5,1,,1,2,4,1,2,4,3,3,4,4,4,5,5,3,2,4,3,4,4,5,5,19,1,,,1,,,,,,,2,7,Sophomore,1,,1,1,1,1,1,1,1,1,,None,89695,personal,rehearse_second,1
9,2023-11-23 14:36:15,R_57oq3Czkj14ahQl,"I went to the Nasher Museum last year to complete an assignment for my Writing 101 class with my friend Devin. It must have been first semester, since that's when I took Writing 101, but I can't remember exactly when. We went through one of the exhibits and took notes on the pieces on display. It was during the afternoon, probably late afternoon. I remember feeling bored and that the assignment was tedious and a waste of time.",NA,Nasher Visit,NA,NA,NA,5,18,NA,NA,1,3,1,8,2,1,3,3,1,1,,1,2,3,1,2,2,2,2,2,2,2,5,5,3,2,4,3,4,4,5,5,19,1,,,1,,,,,,,2,7,Sophomore,1,,1,1,1,1,1,1,1,1,,None,89695,personal,rehearse_second,0
10,11/21/23 18:01,R_tFBu5MEB2fHd4Fr,"In The Rain, the starting scene composed of Simone getting pulled out of school by her parents for some emergent event. In the car was Rasmus, her father and her mother. While in the car they heard on the radio that there was an incoming thunderstorm that infected people with a virus. Everyone in the car was panicking. Tensions grew when an accident occurred just in front of them as the stormy clouds started to follow them. They ran through the woods into this secret Apollon bunker where they sought shelter and were all safe. ",The Rain,New and good,3,,3,4,18,NA,NA,5,5,3,8,4,5,4,5,7,2,,1,1,2,1,2,1,1,1,1,1,1,5,5,2,2,4,3,4,4,2,2,18,1,,,1,,,,,,,2,5,,1,,1,1,1,1,1,1,2,2,,There was a question on how much you played video games and the following one was how often. They seemed like roughly the same thing on different scales.,91015,fiction,rehearse_first,1
10,11/21/23 18:01,R_tFBu5MEB2fHd4Fr,"In The Meg, there was a scene when the group of researchers decided to go deep underwater and found the meg they thought they had encaged in their aquarium. They tried to escape it by going even deeper through a zone they thought the megaladon couldn't pass through. It did, in fact, pass through and found that there was multiple. They left their submarine and walked towards a suspicious underwater base to try and flee the meg.",The Meg,Recent and moderate,2,,3,5,18,NA,NA,2,5,4,5,5,5,2,6,7,1,,1,1,2,1,1,1,1,1,1,1,1,5,5,2,2,4,3,4,4,2,2,18,1,,,1,,,,,,,2,5,,1,,1,1,1,1,1,1,2,2,,There was a question on how much you played video games and the following one was how often. They seemed like roughly the same thing on different scales.,91015,fiction,rehearse_first,0
11,11/22/23 13:03,R_2ydxCWiw375RYEV,Winston is put into a chamber of rats as he is tortured by O'Brien. He is under interrogation and mindwashing by the party. ,1984,Winston's Torture,1,,3,7,15,NA,NA,5,5,1,5,3,2,5,3,5,2,,1,4,2,1,4,4,3,4,3,2,5,6,6,5,5,5,2,5,2,5,5,18,1,,,1,,,,,,,2,7,2,1,,1,1,1,1,1,1,1,1,,,91075,fiction,rehearse_first,1
11,11/22/23 13:03,R_2ydxCWiw375RYEV,"Rachel tells Ross that they are on a break, and Ross decides to cheat on Rachel during this time. The setting is New York apartments and both feel dissappointed and anxious. ",Friends,Rachel and Ross on a Break,3,,3,7,16,NA,NA,3,5,4,8,1,2,6,1,3,2,,2,1,2,1,2,3,2,2,2,2,2,6,6,5,5,5,2,5,2,5,5,18,1,,,1,,,,,,,2,7,2,1,,1,1,1,1,1,1,1,1,,,91075,fiction,rehearse_first,0
12,11/22/23 18:37,R_DcTKMf3RfmWMZ7X,"The event is from from the Pokemon animation series, it's when Ash Ketchum finally becomes a world champion. After a fierce tournament it was the finals and both Leon and Ash were down to their last Pokemon which were Pikachu and Charizard. While it looked like Pikachu had lost he surpassed his limits thus defeating Charizard and making Ash a world champion.",Pokemon Journeys,Watching my favorite childhood anime and seeing the protagonist achieve his goals.,7,Anime,1,6,17,4,3,6,8,8,7,6,8,8,1,7,1,,1,2,3,1,4,3,2,3,4,3,4,7,5,3,3,2,3,3,3,4,4,18,1,,,,,,,,1,Hispanic and/or Latino,1,7,1st year,3,Spanish,2,2,2,2,2,,1,2,,,90706,fiction,rehearse_first,1
12,11/22/23 18:37,R_DcTKMf3RfmWMZ7X,The protagonist Goku is battling a villain named Frieza. Frieza has gravely injured Goku's friends and is doing his best to destroy the planet. Goku is angry that he would try to do such a thing and he transforms into what was supposed to be a mere myth. With his new found power he is able to defeat Frieza and forces him to escape.,Dragon Ball Z,Protagonist transforms into what was supposed to be a myth in order to save the planet,7,Anime,3,7,14,NA,NA,1,3,1,3,1,1,5,3,6,4,,2,1,1,1,2,1,1,1,1,1,2,7,5,3,3,2,3,3,3,4,4,18,1,,,,,,,,1,Hispanic and/or Latino,1,7,1st year,3,Spanish,2,2,2,2,2,,1,2,,,90706,fiction,rehearse_first,0
13,11/23/23 13:41,R_10oP1xCVzQWsryo,"A book taking a dogs perspective yielded the wisdom of said dog. He described that he believes allergies and hygiene issues did not occur until society began making drugs to combat them. Essentially, he describes that the persistence of sickness draws energy from drugs. ","The art of racing in the rain
",Dog memory,1,,1,7,14,6,4,5,8,8,7,4,5,6,2,6,2,,1,4,4,1,3,3,4,3,4,1,3,6,6,4,2,5,4,5,5,5,5,19,1,,,,,,1,,,,2,7,sophomore,1,,1,1,1,1,1,1,1,2,,No,90526,fiction,rehearse_first,1
13,11/23/23 13:41,R_10oP1xCVzQWsryo,"I watched an animated spider man movie a while ago. In one scene, he finally embraces his powers and jumps off a building roof, learning to swing with his webs. It is a popular scene in the movie especially because of the song behind it. ",Spider man into the spider verse,Spider man memory,2,,1,7,15,6,2,3,3,5,5,1,3,8,2,6,2,,2,1,1,1,1,1,1,1,3,1,2,6,6,4,2,5,4,5,5,5,5,19,1,,,,,,1,,,,2,7,sophomore,1,,1,1,1,1,1,1,1,2,,No,90526,fiction,rehearse_first,0
14,11/23/23 12:26,R_2tigX10k2tcQwHZ,One scene I have thought about is from Succession when Shiv and Tom are arguing on the balcony of an apartment building. They were at a party and stepped out to talk about their divorce and were being very hostile to each other. ,Succession ,favorite tv show ,3,,1,4,19,4,5,6,8,8,7,6,5,1,8,8,2,,1,5,5,1,3,5,3,3,3,4,4,6,6,3,2,5,3,5,3,2,2,19,1,,,1,,,,,,,2,7,2,1,,1,2,2,2,1,1,1,2,,No there was not .,89497,fiction,rehearse_second,1
14,11/23/23 12:26,R_2tigX10k2tcQwHZ,"I forget his name but in the Hunger Games, Rue is killed by a guy and Katniss shoots him with a bow and arrow in the middle of a jungle. ",The Hunger Games,For some reason this was the first thing that popped in my head. ,2,,1,6,10,6,4,3,8,8,7,3,3,1,5,6,2,,1,1,3,1,3,1,1,2,1,1,1,6,6,3,2,5,3,5,3,2,2,19,1,,,1,,,,,,,2,7,2,1,,1,2,2,2,1,1,1,2,,No there was not .,89497,fiction,rehearse_second,0
15,11/30/23 21:12,R_1MQYgnVy1v2ARBq,"This is from the popular Anime Naruto: I often talk to many people about many different scenes from this show; but one that stands out is when a character is revealed to be not the stereotypical bad guy, but someone who sacrificed his family for the greater good of a community/even the world. ",Naruto,A complex anime character reveal,7,Anime,1,7,18,5,5,6,8,6,7,4,5,4,4,7,1,,1,3,2,1,3,4,3,1,4,1,3,7,7,4,3,5,3,3,3,3,2,20,1,,,,,,1,,,,2,7,Junior,4,,2,2,2,2,2,1,1,2,,"""How much do you play video games?"" I believe the word 'like' was missing. ",90904,fiction,rehearse_second,1
15,11/30/23 21:12,R_1MQYgnVy1v2ARBq,"Like the prompt said I don't remember what this movie was but I remember thoroughly enjoying when I was younger. There was a guy who had a metal bird he rode and he also possessed some thunder based powers like conjuring lighting bolts. He also had this mentor figure who I believe was played by Woody Harelson. At the end of the movie the main character defeated this witch like character with a thunderbolt, I can remember this but the details are fuzzy. ","I don't know, all I remember is Woody Harrelson and the guy who voices Hickup in How to train your dragon star in it. ",Cool Science Fiction Movie,2,,1,8,11,8,3,2,3,1,6,1,1,4,5,2,3,,2,2,1,1,1,2,2,1,2,1,1,7,7,4,3,5,3,3,3,3,2,20,1,,,,,,1,,,,2,7,Junior,4,,2,2,2,2,2,1,1,2,,"""How much do you play video games?"" I believe the word 'like' was missing. ",90904,fiction,rehearse_second,0
16,12/1/23 13:56,R_117yROA6EOcEu7b,"In American Gods when the old Gods were convening at the hall of gods they talked about whether or not to fight against the new gods. Odin in his mythological form brought the meeting to a start and it pans to the mythological forms of Kali, Anansi, and Belquis. Anansi interceded and Shadow Moon turned in shock. Anansi said ""Time for a story. Because sometimes people need reminding of things. WE HAVE BEEN FIGHTING SINCE THE PORTUGUESE INVADED THE GOLD COAST OF GHANA. WE STAY AT WAR AND JUST BECAUSE WE ARE FEW AND THEY ARE DOES NOT MEAN WE ARE LOST.""",American Gods ,Anansi Hall of Gods ,3,,1,7,16,7,3,6,6,6,5,5,6,6,2,8,1,,2,1,4,1,3,1,1,1,1,1,4,6,4,3,3,5,4,5,5,1,1,18,1,,,,1,,,,,,2,7,freshmen,1,,1,1,1,1,1,1,1,2,,no,90742,fiction,rehearse_second,1
16,12/1/23 13:56,R_117yROA6EOcEu7b,"In Twilight,  Jacob, in wolf form, was trying to defend Bella's being pregnant to the rest of the wolfpack. The wolfpack wanted to kill Bella and the legendary catastrophic halfbreed baby, but Jacob would not allow it. He was the orange-haired wolf while the rest was brown, grey, and white. The telepathic connection between the wolves causes a lot of voices to be produced. The pack's alpha, Sam the black-haired wolf, can bend the other wolves to his will. When he tried to invoke this ability against Jacob by snarling at him to force him to go with the pack, Jacob used all his might snarling back and said ""I WILL NOT, I AM THE GRANDSON OF EPHRAIM BLACK. I AM THE SON OF A CHIEF. I WAS NOT MEANT TO FOLLOW YOU OR ANYBODY ELSE.""",Twilight Breaking Dawn ,Jacob Black Rebels ,2,,,8,10,NA,NA,5,5,5,6,3,5,5,3,8,2,,1,1,3,1,3,1,1,1,1,1,1,6,4,3,3,5,4,5,5,1,1,18,1,,,,1,,,,,,2,7,freshmen,1,,1,1,1,1,1,1,1,2,,no,90742,fiction,rehearse_second,0
17,2023-11-21 19:32:16,R_3dNerzrcbwmighE,"I remember walking into the crashpad, which was a weird, greenish color and smelled like sweat, and being overwhelmed with the loud noises and fast paced skating past me. I walked past the track and said hi to a girl that introduced herself as Lida, and I dropped off my gear and walked over to the warmup space.",NA,First day of roller derby,NA,NA,NA,7,11,NA,NA,5,4,3,6,5,4,5,2,4,1,,1,4,4,1,4,3,3,4,3,4,4,7,7,2,2,4,4,5,4,1,1,18,2,,,,,,1,,,,2,7,First-year,1,,1,1,1,1,1,1,2,2,,,91561,personal,rehearse_first,1
17,2023-11-21 19:32:16,R_3dNerzrcbwmighE,"I went to the diner with my friends Julia, Gabi, and Saira one day in my senior year of high school. We walked out of school and were trying to decide where to go for lunch. I brought up going to the diner, and we walked over there. It was a cold day and I remember I was wearing a scarf. The diner was warm and I got a milkshake, turkey bacon, and pancakes.",NA,Going to the diner,NA,NA,NA,5,17,NA,NA,2,6,5,7,6,4,5,2,3,1,,1,2,4,1,2,2,2,2,2,2,2,7,7,2,2,4,4,5,4,1,1,18,2,,,,,,1,,,,2,7,First-year,1,,1,1,1,1,1,1,2,2,,,91561,personal,rehearse_first,0
18,2023-11-22 08:16:34,R_2THwqBA9XmRm6Tg,"I was on a road trip with my family and we were all chatting in the car. We were driving to Charleston, South Carolina to spend Thanksgiving and had just decided that we were going to have a no technology vacation. The sun was shining through the windshield and I could feel it on my face and a coldplay song was playing in the background. ",NA,Trip to Charleston ,NA,NA,NA,7,10,NA,NA,5,6,5,6,5,5,7,1,5,3,,1,2,4,1,4,3,3,4,4,3,3,6,6,4,3,4,4,4,4,1,1,20,2,,,1,,,,,,,2,7,Sophomore,1,,1,1,1,1,1,1,1,1,,No!,90820,personal,rehearse_first,1
18,2023-11-22 08:16:34,R_2THwqBA9XmRm6Tg,I was sitting in WU and I saw this older couple walking together and holding hands. I remember that it made me smile. I was by Panera (sitting it the long tables) and it was a rather dreary day. It was rainy and the man was holding an umbrella above his wife's head.,NA,A walk in the rain ,NA,NA,NA,5,19,NA,NA,3,4,3,5,3,2,5,1,3,1,,2,3,3,1,2,3,3,2,3,2,3,6,6,4,3,4,4,4,4,1,1,20,2,,,1,,,,,,,2,7,Sophomore,1,,1,1,1,1,1,1,1,1,,No!,90820,personal,rehearse_first,0
19,2023-11-23 11:02:54,R_1Ksc8KVVl8QqT5L,"My godfather and cousin disappeared in Mexico in December before my 15th birthday, I remember it vividly because he asked me if I wanted a quince before he left for Mexico and of course I said yes.",NA,Disappearance of mi padrino y primo ,NA,NA,NA,7,13,NA,NA,6,5,5,3,4,7,1,7,7,1,,2,1,1,1,2,4,5,4,4,5,4,6,6,5,3,5,4,5,5,3,2,20,2,,,,,,1,,,,1,7,2,3,spanish ,1,1,1,1,1,1,1,1,,,90922,personal,rehearse_first,1
19,2023-11-23 11:02:54,R_1Ksc8KVVl8QqT5L,My siblings and I had a siblings' night where we watched Marvel movies and grabbed snacks from the local family dollar store.,NA,Siblings Night ,NA,NA,NA,6,18,NA,NA,2,3,2,2,3,3,6,1,3,1,,2,3,5,1,3,4,3,2,2,2,3,6,6,5,3,5,4,5,5,3,2,20,2,,,,,,1,,,,1,7,2,3,spanish ,1,1,1,1,1,1,1,1,,,90922,personal,rehearse_first,0
20,2023-11-23 11:08:54,R_31T1W7a2LXYWyE2,"I was at my friends house having friendsgiving. It was the first time I had seen my home friends in over four months. We ate steak, chips, cake, etc. ",NA,nostalgic and positive,NA,NA,NA,2,19,NA,NA,4,7,7,8,7,4,5,2,4,1,,2,1,4,1,3,4,2,2,2,2,3,5,6,5,3,4,3,4,3,1,1,19,2,,,,,,1,,,,1,6,,3,Spanish,1,1,1,1,1,1,1,1,,,91606,personal,rehearse_first,1
20,2023-11-23 11:08:54,R_31T1W7a2LXYWyE2,I was in my dorm room studying for my chemistry midterm. The stress from that and being away from home made me feel isolated which led me to start crying. ,NA,anxious and stressful and negative,NA,NA,NA,3,19,NA,NA,2,7,3,5,6,5,1,7,6,3,,1,2,1,1,4,4,4,3,3,3,4,5,6,5,3,4,3,4,3,1,1,19,2,,,,,,1,,,,1,6,,3,Spanish,1,1,1,1,1,1,1,1,,,91606,personal,rehearse_first,0
21,2023-11-30 19:08:17,R_w74CESxhkLlR48V,"In elementary school I really wanted a dog, but my dad was against it. So, everyday around 6:00 pm I would listen for the garage, to know when my dad was getting home. Before the garage was even completely open I would be on the other side waiting for my dad so that I could repeatedly ask for a dog. Eventually he got so annoyed that he said yes.",NA,Begging for dog.,NA,NA,NA,8,8,NA,NA,5,7,7,7,7,5,6,1,4,2,,1,1,2,1,4,1,1,1,1,1,1,5,6,2,2,3,3,5,4,2,2,19,2,,,,,,1,,,,2,7,sophomore,1,,1,1,1,1,1,1,1,1,,,87805,personal,rehearse_first,1
21,2023-11-30 19:08:17,R_w74CESxhkLlR48V,"I got my coffee from the cafe at my school the other day, but I immediately dropped it on the ground. I was super embarrassed and rushed to clean it up, but never got another one. ",NA,coffee,NA,NA,NA,2,19,NA,NA,1,7,2,8,3,1,4,4,1,2,,1,1,1,1,1,1,1,1,1,1,1,5,6,2,2,3,3,5,4,2,2,19,2,,,,,,1,,,,2,7,sophomore,1,,1,1,1,1,1,1,1,1,,,87805,personal,rehearse_first,0
22,2023-12-01 13:19:18,R_1kM23TpGtTlv31V,"The event that I think about often is the lacrosse championship game of my senior year. It was on May 13th at 6 pm at US Lacrosse Headquarters. We were playing against Glenelg Country School in the A conference championships, a team we previously lost to 23-2. After that lost we went from #1 in the country to #2 which was devastating because we knew we shouldn't have lost, but we had a lot of injured players that game. During the championship game, hundreds of people came including students, family, and faculty from both schools. The lights shined bright on us during the game and we would score back and forth the first 15 minutes of the game. But then we kept our intensity and focus and started to pull ahead. We kept this momentum the rest of the game and beat them by 7. I remember everyone storming the field to cheer with us and me holding the trophy. It was so significant to me because it was the last year and last game with some of my best friends and I got to lead my team as captain to a championship. We also remained the number 1 team in the country for the second year in a row.",NA,"memorable, amazing, exhilarating ",NA,NA,NA,5,18,NA,NA,5,6,6,8,7,6,7,1,7,1,,1,4,5,1,3,1,4,2,3,4,2,5,6,3,3,5,3,5,5,3,3,19,2,,,,1,,,,,,2,7,sophomore,1,,1,1,1,1,1,1,1,1,,no,89590,personal,rehearse_first,1
